symbol,timestamp,open,high,low,close,volume,source,last_updated
SAMMAANCAP,2025-11-17 09:15:00,177.0,177.1,175.82,175.91,84819,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:16:00,175.94,176.19,175.77,176.1,103720,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:17:00,176.16,176.39,175.95,176.32,68950,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:18:00,176.27,176.3,176.14,176.28,30720,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:19:00,176.2,176.2,175.91,176.13,24142,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:20:00,176.06,176.18,176.0,176.07,13597,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:21:00,176.12,176.4,176.12,176.36,7069,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:22:00,176.36,177.7,176.36,177.64,54849,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:23:00,177.62,178.0,177.53,177.78,113585,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:24:00,177.75,178.1,177.61,177.98,154094,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:25:00,177.84,178.0,177.8,177.8,62730,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:26:00,177.85,178.47,177.65,178.26,64614,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:27:00,178.35,178.6,178.16,178.16,39050,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:28:00,178.19,178.19,177.89,177.89,16011,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:29:00,177.89,177.9,177.85,177.89,17842,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:30:00,177.86,178.06,177.72,177.79,22655,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:31:00,177.79,177.82,177.65,177.66,9504,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:32:00,177.74,177.74,177.64,177.64,5166,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:33:00,177.67,177.67,177.35,177.4,16352,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:34:00,177.35,177.4,177.22,177.23,30014,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:35:00,177.29,177.4,177.27,177.35,2981,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:36:00,177.4,177.4,177.25,177.32,10179,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:37:00,177.4,177.69,177.4,177.69,8646,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:38:00,177.66,177.66,177.46,177.48,8469,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:39:00,177.48,177.48,177.3,177.45,13536,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:40:00,177.45,177.45,177.33,177.33,1412,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:41:00,177.4,177.47,177.4,177.47,1999,DHAN_HISTORY,2026-03-15 17:41:56
SAMMAANCAP,2025-11-17 09:42:00,177.47,177.49,177.37,177.44,26613,DHAN_HISTORY,2026-03-15 17:41:56
