symbol,timestamp,open,high,low,close,volume,source,last_updated
SBISILVER,2025-12-05 09:15:00,170.6,172.24,170.32,171.48,32878,DHAN_HISTORY,2026-03-15 17:03:22
SBISILVER,2025-12-05 09:16:00,171.49,171.93,171.49,171.81,12857,DHAN_HISTORY,2026-03-15 17:03:22
SBISILVER,2025-12-05 09:17:00,171.8,171.96,171.71,171.85,6272,DHAN_HISTORY,2026-03-15 17:03:22
SBISILVER,2025-12-05 09:18:00,171.8,171.8,171.52,171.52,5649,DHAN_HISTORY,2026-03-15 17:03:22
SBISILVER,2025-12-05 09:19:00,171.67,171.67,171.52,171.6,736,DHAN_HISTORY,2026-03-15 17:03:22
SBISILVER,2025-12-05 09:20:00,171.6,171.66,171.53,171.6,1681,DHAN_HISTORY,2026-03-15 17:03:22
SBISILVER,2025-12-05 09:21:00,171.56,171.57,171.5,171.55,2907,DHAN_HISTORY,2026-03-15 17:03:22
SBISILVER,2025-12-05 09:22:00,171.55,171.66,171.55,171.57,2935,DHAN_HISTORY,2026-03-15 17:03:22
SBISILVER,2025-12-05 09:23:00,171.55,171.57,171.45,171.55,7747,DHAN_HISTORY,2026-03-15 17:03:22
SBISILVER,2025-12-05 09:24:00,171.56,171.62,171.46,171.61,1644,DHAN_HISTORY,2026-03-15 17:03:22
SBISILVER,2025-12-05 09:25:00,171.54,171.61,171.51,171.6,386,DHAN_HISTORY,2026-03-15 17:03:22
SBISILVER,2025-12-05 09:26:00,171.59,171.62,171.58,171.62,2834,DHAN_HISTORY,2026-03-15 17:03:22
SBISILVER,2025-12-05 09:27:00,171.62,171.62,171.58,171.6,620,DHAN_HISTORY,2026-03-15 17:03:22
SBISILVER,2025-12-05 09:28:00,171.5,171.62,171.5,171.62,161,DHAN_HISTORY,2026-03-15 17:03:22
SBISILVER,2025-12-05 09:29:00,171.62,171.62,171.5,171.62,4061,DHAN_HISTORY,2026-03-15 17:03:22
SBISILVER,2025-12-05 09:30:00,171.62,171.62,171.5,171.56,1797,DHAN_HISTORY,2026-03-15 17:03:22
SBISILVER,2025-12-05 09:31:00,171.57,171.57,171.5,171.56,2041,DHAN_HISTORY,2026-03-15 17:03:22
