symbol,timestamp,open,high,low,close,volume,source,last_updated
SILVER,2026-03-09 09:15:00,259.62,260.0,257.17,257.63,37833,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:16:00,257.63,258.0,257.46,257.83,17838,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:17:00,257.97,258.11,257.72,258.0,14400,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:18:00,258.0,258.21,258.0,258.0,16640,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:19:00,258.0,258.0,257.46,257.76,21059,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:20:00,257.71,257.8,257.5,257.55,7116,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:21:00,257.6,257.88,257.55,257.76,8715,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:22:00,257.77,257.96,257.72,257.94,7247,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:23:00,257.94,257.99,257.73,257.75,7646,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:24:00,257.75,257.98,257.63,257.95,12170,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:25:00,257.9,257.9,257.45,257.8,11215,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:26:00,257.8,257.93,257.75,257.89,5214,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:27:00,257.92,257.98,257.8,257.85,3632,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:28:00,257.9,257.9,257.55,257.75,21698,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:29:00,257.76,257.85,257.51,257.51,4833,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:30:00,257.7,257.75,257.64,257.75,2470,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:31:00,257.75,257.8,257.58,257.78,17771,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:32:00,257.75,257.78,257.56,257.74,4278,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:33:00,257.73,257.87,257.56,257.87,7972,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:34:00,257.86,257.86,257.72,257.84,2020,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:35:00,257.83,257.83,257.52,257.66,10965,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:36:00,257.66,257.69,257.5,257.63,1826,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:37:00,257.63,257.84,257.51,257.72,8515,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:38:00,257.82,257.82,257.67,257.76,2571,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:39:00,257.76,257.82,257.69,257.71,1389,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:40:00,257.67,257.68,257.51,257.51,1629,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:41:00,257.71,258.15,257.63,258.11,19716,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:42:00,258.12,258.26,258.0,258.07,1997,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:43:00,258.07,258.07,257.55,257.83,8157,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:44:00,257.9,257.9,257.66,257.76,2868,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:45:00,257.66,257.83,257.52,257.52,4819,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:46:00,257.63,257.67,256.94,257.0,58805,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:47:00,257.0,257.07,256.68,256.94,23989,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:48:00,256.8,257.02,256.61,256.85,34040,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:49:00,256.91,256.99,256.52,256.77,57458,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:50:00,256.6,256.83,256.45,256.73,61961,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:51:00,256.73,256.73,256.34,256.44,22710,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:52:00,256.37,256.37,255.72,255.83,18022,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:53:00,255.62,256.2,255.55,256.2,7668,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:54:00,256.18,256.18,255.59,255.61,16899,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:55:00,255.61,255.7,255.06,255.15,11440,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:56:00,255.01,255.87,254.83,255.7,24067,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:57:00,255.4,255.75,255.34,255.34,4316,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:58:00,255.37,255.39,254.63,255.26,18892,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 09:59:00,255.07,255.11,254.71,254.79,19673,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:00:00,254.95,254.95,254.0,254.09,23153,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:01:00,254.09,254.5,253.7,254.17,39409,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:02:00,254.74,254.88,254.3,254.3,22419,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:03:00,254.3,254.46,254.0,254.39,5557,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:04:00,254.33,254.4,254.05,254.35,10911,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:05:00,254.33,254.5,254.12,254.5,5383,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:06:00,254.4,254.82,254.4,254.7,16862,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:07:00,254.8,254.84,254.34,254.51,22708,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:08:00,254.64,254.77,254.24,254.34,4680,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:09:00,254.3,254.48,254.3,254.33,2245,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:10:00,254.47,254.6,254.21,254.33,5963,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:11:00,254.33,254.63,254.33,254.57,5213,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:12:00,254.5,254.57,254.23,254.4,1906,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:13:00,254.4,254.41,253.98,254.0,9479,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:14:00,254.0,254.2,253.68,254.03,4668,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:15:00,254.04,254.04,253.9,254.0,1405,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:16:00,254.0,254.21,254.0,254.21,4410,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:17:00,254.2,254.2,254.0,254.12,11276,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:18:00,254.11,254.11,253.72,253.8,15877,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:19:00,253.86,253.97,253.5,253.97,5801,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:20:00,253.5,254.05,253.5,254.0,20241,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:21:00,254.04,254.05,253.64,253.92,11217,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:22:00,254.01,254.01,253.79,253.79,12784,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:23:00,253.82,253.87,253.56,253.66,4291,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:24:00,253.68,253.7,253.51,253.51,4339,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:25:00,253.5,253.65,253.5,253.6,3145,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:26:00,253.58,254.01,253.58,254.01,6005,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:27:00,253.9,254.17,253.68,254.17,3884,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:28:00,254.17,254.34,254.07,254.09,10899,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:29:00,254.11,254.24,254.09,254.16,1311,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:30:00,254.15,254.15,253.63,253.75,5308,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:31:00,253.79,253.95,253.77,253.92,2475,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:32:00,253.92,253.99,253.85,253.9,1419,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:33:00,253.91,254.47,253.91,254.39,6594,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:34:00,254.45,255.29,254.4,255.12,27359,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:35:00,255.31,256.04,255.31,255.85,9407,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:36:00,255.95,256.04,255.44,255.9,15503,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:37:00,256.0,256.08,255.35,255.48,13228,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:38:00,255.4,255.96,255.32,255.84,18907,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:39:00,255.84,255.84,255.7,255.7,18027,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:40:00,255.7,255.84,255.7,255.81,8274,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:41:00,255.78,255.84,255.58,255.84,4377,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:42:00,255.84,256.32,255.73,256.11,8997,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:43:00,256.13,256.2,255.84,255.84,8146,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:44:00,255.76,255.95,255.28,255.35,4565,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:45:00,255.35,255.37,255.16,255.37,1051,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:46:00,255.19,255.27,255.0,255.22,1802,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:47:00,255.14,255.14,254.5,254.67,10997,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:48:00,254.68,254.85,254.66,254.8,2615,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:49:00,254.71,254.8,254.22,254.22,6230,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:50:00,254.22,254.3,254.0,254.3,6214,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:51:00,254.33,254.45,254.0,254.45,8197,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:52:00,254.6,255.07,254.49,254.73,3573,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:53:00,254.75,255.03,254.75,254.94,5415,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:54:00,254.93,255.19,254.82,254.99,2388,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:55:00,254.97,255.35,254.97,255.2,2030,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:56:00,255.24,255.35,255.19,255.27,1631,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:57:00,255.13,255.53,255.13,255.24,44576,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:58:00,255.17,255.42,255.17,255.38,5792,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 10:59:00,255.47,255.47,255.09,255.33,1780,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:00:00,255.44,255.47,255.2,255.45,1681,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:01:00,255.41,255.88,254.97,255.78,9616,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:02:00,255.56,256.0,255.56,255.8,8620,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:03:00,255.79,256.09,255.74,256.03,3041,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:04:00,255.97,255.97,255.67,255.91,1730,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:05:00,255.95,256.57,255.8,256.45,18998,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:06:00,256.56,256.56,256.16,256.2,9056,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:07:00,256.19,256.25,256.09,256.09,1474,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:08:00,256.1,256.36,256.1,256.29,4886,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:09:00,256.17,256.23,255.9,255.9,9944,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:10:00,255.93,256.33,255.93,256.31,9415,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:11:00,256.4,256.49,256.1,256.31,9333,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:12:00,256.18,256.92,256.18,256.57,9356,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:13:00,256.92,257.36,256.62,256.92,14801,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:14:00,257.16,257.81,257.03,257.81,15484,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:15:00,257.64,258.07,257.64,257.97,18959,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:16:00,257.93,258.3,257.59,258.22,11734,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:17:00,258.12,258.29,257.51,258.01,4357,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:18:00,257.9,258.06,257.5,257.56,2664,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:19:00,257.5,257.7,257.47,257.52,5909,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:20:00,257.65,257.82,257.56,257.8,4646,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:21:00,257.8,257.83,257.49,257.52,12779,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:22:00,257.68,257.68,257.33,257.41,3629,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:23:00,257.38,258.0,257.37,257.7,5818,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:24:00,257.83,257.87,257.74,257.75,339,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:25:00,257.75,257.89,257.54,257.69,1856,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:26:00,257.71,257.71,257.4,257.55,7438,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:27:00,257.52,257.66,257.52,257.53,67,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:28:00,257.55,257.63,257.45,257.58,4467,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:29:00,257.51,257.92,257.51,257.71,6291,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:30:00,257.73,257.8,257.4,257.47,1237,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:31:00,257.53,257.65,257.51,257.58,4198,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:32:00,257.51,257.51,257.26,257.4,7523,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:33:00,257.41,257.55,257.11,257.2,1117,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:34:00,257.13,257.55,256.73,257.55,12209,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:35:00,257.55,257.65,257.29,257.29,4896,DHAN_HISTORY,2026-03-15 17:09:33
SILVER,2026-03-09 11:36:00,257.2,257.51,257.15,257.51,1266,DHAN_HISTORY,2026-03-15 17:09:33
