symbol,timestamp,open,high,low,close,volume,source,last_updated
SILVERBEES,2025-12-02 09:15:00,167.01,168.4,166.67,166.8,1178229,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:16:00,166.87,166.89,166.54,166.68,656098,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:17:00,166.68,166.68,166.5,166.5,460024,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:18:00,166.48,166.57,166.32,166.38,493703,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:19:00,166.33,166.42,166.25,166.42,433706,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:20:00,166.42,166.5,166.39,166.39,303470,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:21:00,166.39,166.4,166.24,166.32,380195,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:22:00,166.3,166.48,166.3,166.44,406921,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:23:00,166.42,166.67,166.41,166.64,359887,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:24:00,166.64,166.87,166.6,166.83,438134,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:25:00,166.82,166.83,166.66,166.73,284190,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:26:00,166.7,166.8,166.68,166.8,201161,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:27:00,166.8,166.93,166.75,166.92,378995,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:28:00,166.86,166.95,166.82,166.92,202947,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:29:00,166.94,166.94,166.71,166.85,188306,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:30:00,166.88,166.88,166.83,166.86,99724,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:31:00,166.86,166.93,166.85,166.9,116756,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:32:00,166.9,166.93,166.85,166.85,133121,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:33:00,166.88,166.9,166.84,166.9,79980,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:34:00,166.9,166.95,166.87,166.93,134246,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:35:00,166.89,166.98,166.88,166.93,133896,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:36:00,166.96,167.0,166.91,167.0,122986,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:37:00,166.98,167.0,166.96,166.96,214702,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:38:00,166.97,167.0,166.95,167.0,142746,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:39:00,166.98,167.08,166.98,167.0,158998,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:40:00,167.0,167.07,166.96,166.98,194585,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:41:00,167.0,167.07,167.0,167.01,108827,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:42:00,167.02,167.02,166.9,166.9,123333,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:43:00,166.94,166.94,166.8,166.84,212747,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:44:00,166.85,166.85,166.8,166.8,132468,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:45:00,166.79,166.82,166.73,166.75,64453,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:46:00,166.75,166.75,166.53,166.57,152670,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:47:00,166.56,166.68,166.51,166.67,147272,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:48:00,166.67,166.69,166.6,166.68,123109,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:49:00,166.65,166.71,166.56,166.56,159029,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:50:00,166.6,166.7,166.57,166.67,66495,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:51:00,166.61,166.68,166.61,166.68,58702,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:52:00,166.68,166.68,166.62,166.67,31859,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:53:00,166.65,166.79,166.65,166.76,150056,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:54:00,166.72,166.75,166.65,166.7,54362,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:55:00,166.7,166.73,166.67,166.71,95667,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:56:00,166.72,166.74,166.7,166.71,156562,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:57:00,166.72,166.81,166.71,166.79,169373,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:58:00,166.8,166.84,166.79,166.79,222593,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 09:59:00,166.79,166.79,166.73,166.76,46851,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:00:00,166.76,166.8,166.76,166.78,63530,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:01:00,166.78,166.78,166.7,166.72,116822,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:02:00,166.72,166.79,166.7,166.77,114405,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:03:00,166.78,166.8,166.66,166.68,168710,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:04:00,166.67,166.73,166.6,166.73,79077,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:05:00,166.73,166.73,166.6,166.64,36506,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:06:00,166.64,166.7,166.6,166.68,138312,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:07:00,166.66,166.67,166.63,166.67,51655,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:08:00,166.65,166.7,166.56,166.61,155032,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:09:00,166.65,166.7,166.57,166.64,78677,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:10:00,166.65,166.71,166.57,166.71,126870,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:11:00,166.71,166.75,166.69,166.72,94646,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:12:00,166.73,166.77,166.72,166.77,69456,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:13:00,166.77,166.82,166.73,166.75,60216,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:14:00,166.78,166.79,166.75,166.77,31594,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:15:00,166.77,166.8,166.7,166.75,69146,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:16:00,166.75,166.81,166.7,166.81,92098,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:17:00,166.81,166.87,166.77,166.84,77511,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:18:00,166.8,166.88,166.8,166.83,48956,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:19:00,166.82,166.84,166.79,166.83,48369,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:20:00,166.83,166.87,166.78,166.87,103449,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:21:00,166.85,166.89,166.85,166.88,80714,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:22:00,166.88,166.95,166.86,166.94,55341,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:23:00,166.94,166.94,166.85,166.88,39878,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:24:00,166.88,166.93,166.85,166.93,45470,DHAN_HISTORY,2026-03-15 17:12:41
SILVERBEES,2025-12-02 10:25:00,166.9,166.94,166.85,166.93,56918,DHAN_HISTORY,2026-03-15 17:12:41
