symbol,timestamp,open,high,low,close,volume,source,last_updated
SILVERBETA,2026-01-02 09:15:00,221.99,223.98,220.16,221.57,31736,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:16:00,221.56,221.7,221.56,221.66,22538,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:17:00,221.65,221.7,221.13,221.56,43094,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:18:00,221.56,222.2,221.38,222.14,30665,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:19:00,222.15,222.5,222.07,222.38,10617,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:20:00,222.2,222.33,221.9,221.99,12225,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:21:00,221.8,222.24,221.77,222.16,23046,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:22:00,222.2,222.23,222.05,222.21,3174,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:23:00,222.2,222.2,222.05,222.05,13039,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:24:00,222.15,222.15,222.01,222.05,19600,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:25:00,222.01,222.23,222.01,222.19,10485,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:26:00,222.07,222.19,222.07,222.1,8966,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:27:00,222.1,222.1,222.0,222.08,8778,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:28:00,222.0,222.1,221.91,222.1,12856,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:29:00,222.15,222.28,222.08,222.28,10352,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:30:00,222.28,222.43,222.26,222.41,8600,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:31:00,222.35,222.5,222.35,222.5,14017,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:32:00,222.48,222.76,222.48,222.71,5647,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:33:00,222.75,223.17,222.68,223.09,25495,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:34:00,223.02,223.29,223.02,223.2,7551,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:35:00,223.29,223.48,223.2,223.37,6024,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:36:00,223.49,223.75,223.37,223.6,10134,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:37:00,223.66,223.99,223.66,223.98,10674,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:38:00,223.98,223.98,223.66,223.66,5911,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:39:00,223.63,223.63,222.91,223.29,22082,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:40:00,223.39,223.99,223.3,223.99,10037,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:41:00,223.85,223.93,223.69,223.7,17684,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:42:00,223.7,223.9,223.7,223.9,4309,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:43:00,223.9,224.0,223.23,223.6,27139,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:44:00,223.53,223.91,223.53,223.77,11794,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:45:00,223.7,223.8,223.35,223.35,4428,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:46:00,223.36,223.7,223.36,223.5,3250,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:47:00,223.59,223.6,223.49,223.59,4771,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:48:00,223.57,223.57,223.43,223.51,1557,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:49:00,223.41,223.5,223.34,223.5,10323,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:50:00,223.36,223.5,223.34,223.44,2199,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:51:00,223.34,223.35,223.15,223.21,10115,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:52:00,223.21,223.21,222.95,223.0,13305,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:53:00,222.42,222.99,222.42,222.7,24569,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:54:00,222.65,222.8,222.5,222.8,9531,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:55:00,222.8,223.19,222.8,223.13,8469,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:56:00,223.13,223.13,222.95,223.0,8572,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:57:00,223.0,223.18,222.85,222.85,7984,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:58:00,222.75,222.95,222.63,222.63,2141,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 09:59:00,222.55,223.09,222.55,222.96,9882,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:00:00,222.9,223.32,222.85,223.32,5248,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:01:00,223.32,223.32,222.95,223.0,6154,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:02:00,222.99,223.0,222.75,222.99,2103,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:03:00,222.84,223.09,222.64,222.97,10633,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:04:00,222.99,223.01,222.75,223.01,4144,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:05:00,222.8,222.94,222.78,222.83,1641,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:06:00,223.0,223.03,223.0,223.0,27456,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:07:00,223.01,223.08,223.0,223.0,4624,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:08:00,223.0,223.03,223.0,223.02,7919,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:09:00,223.0,223.03,223.0,223.03,12107,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:10:00,223.08,223.08,222.61,222.85,11054,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:11:00,223.04,223.04,222.83,222.95,25718,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:12:00,222.82,223.0,222.82,222.95,2403,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:13:00,222.9,223.0,222.84,223.0,8607,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:14:00,223.0,223.0,223.0,223.0,25197,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:15:00,223.0,223.0,222.9,222.91,2707,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:16:00,223.0,223.0,222.91,223.0,3824,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:17:00,222.91,223.0,222.8,222.8,1455,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:18:00,222.8,222.97,222.8,222.96,1278,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:19:00,222.72,222.87,222.66,222.85,4112,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:20:00,222.86,222.86,222.75,222.86,998,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:21:00,222.86,222.9,222.63,222.65,5112,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:22:00,222.83,222.85,222.69,222.73,2942,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:23:00,222.73,222.73,222.58,222.7,1562,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:24:00,222.73,222.73,222.51,222.6,2831,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:25:00,222.6,222.73,222.5,222.56,4523,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:26:00,222.56,222.56,222.26,222.5,11253,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:27:00,222.48,222.5,222.16,222.2,7455,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:28:00,222.2,222.49,222.15,222.24,5369,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:29:00,222.5,222.55,222.46,222.55,1576,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:30:00,222.55,222.64,222.55,222.64,1126,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:31:00,222.56,222.64,222.55,222.64,2185,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:32:00,222.6,222.8,222.23,222.37,22375,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:33:00,222.42,222.5,222.16,222.39,6392,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:34:00,222.26,222.39,222.15,222.2,4272,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:35:00,222.2,222.2,221.63,221.78,10508,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:36:00,221.62,222.67,221.62,222.26,18154,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:37:00,222.22,222.5,222.22,222.42,4243,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:38:00,222.5,222.57,222.5,222.57,1618,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:39:00,222.58,222.8,222.56,222.69,4428,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:40:00,222.68,222.68,222.68,222.68,7,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:41:00,222.65,222.68,222.46,222.47,7694,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:42:00,222.65,222.65,222.5,222.55,485,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:43:00,222.54,222.59,222.38,222.38,1166,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:44:00,222.58,222.76,222.5,222.5,618,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:45:00,222.6,222.65,222.6,222.65,535,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:46:00,222.65,222.85,222.65,222.85,1645,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:47:00,222.95,223.0,222.8,223.0,2138,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:48:00,223.0,223.0,222.96,223.0,1731,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:49:00,223.0,223.0,222.96,223.0,1514,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:50:00,222.96,223.0,222.93,223.0,2200,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:51:00,222.95,223.11,222.95,223.11,5455,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:52:00,223.07,223.11,223.07,223.1,745,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:53:00,223.11,223.39,223.11,223.34,5551,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:54:00,223.34,223.34,223.15,223.25,412,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:55:00,223.2,223.25,223.2,223.21,1122,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:56:00,223.2,223.2,223.05,223.05,68,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:57:00,223.19,223.73,223.07,223.26,19173,DHAN_HISTORY,2026-03-15 17:14:48
SILVERBETA,2026-01-02 10:58:00,223.24,223.3,223.24,223.3,370,DHAN_HISTORY,2026-03-15 17:14:48
