symbol,timestamp,open,high,low,close,volume,source,last_updated
SILVERIETF,2025-11-19 09:15:00,152.99,154.99,152.99,154.83,78107,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:16:00,154.84,154.89,154.7,154.72,115443,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:17:00,154.73,154.84,154.7,154.72,35184,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:18:00,154.79,154.8,154.72,154.8,15449,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:19:00,154.8,154.9,154.72,154.75,105245,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:20:00,154.75,154.79,154.72,154.79,11769,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:21:00,154.74,154.79,154.7,154.71,24907,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:22:00,154.69,154.69,154.5,154.5,32658,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:23:00,154.5,154.59,154.4,154.59,12229,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:24:00,154.45,154.59,154.45,154.46,67995,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:25:00,154.46,154.48,154.21,154.25,6738,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:26:00,154.39,154.39,154.24,154.37,8167,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:27:00,154.3,154.37,154.0,154.1,9549,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:28:00,154.1,154.1,154.0,154.1,7825,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:29:00,154.06,154.1,153.99,153.99,10319,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:30:00,154.0,154.0,153.91,153.98,5492,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:31:00,153.95,153.99,153.9,153.99,2883,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:32:00,153.95,154.0,153.9,154.0,37332,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:33:00,154.0,154.25,153.98,154.2,40180,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:34:00,154.2,154.26,154.15,154.15,23150,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:35:00,154.2,154.4,154.17,154.39,20013,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:36:00,154.39,154.43,154.3,154.38,11957,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:37:00,154.36,154.4,154.23,154.23,11013,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:38:00,154.22,154.4,154.22,154.27,13170,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:39:00,154.29,154.3,154.2,154.29,5745,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:40:00,154.29,154.33,154.2,154.3,7485,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:41:00,154.3,154.34,154.29,154.34,3536,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:42:00,154.34,154.41,154.34,154.37,3699,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:43:00,154.35,154.39,154.29,154.29,1315,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:44:00,154.29,154.33,154.26,154.33,5741,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:45:00,154.32,154.35,154.22,154.3,950,DHAN_HISTORY,2026-03-15 17:16:05
SILVERIETF,2025-11-19 09:46:00,154.3,154.37,154.3,154.36,467,DHAN_HISTORY,2026-03-15 17:16:05
