symbol,timestamp,open,high,low,close,volume,source,last_updated
SONACOMS,2026-03-10 09:15:00,509.0,512.0,505.7,511.85,15144,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:16:00,511.0,511.55,509.9,510.45,3293,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:17:00,510.45,510.75,509.35,510.75,22068,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:18:00,510.75,510.9,509.25,510.4,16814,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:19:00,510.25,510.25,509.3,509.45,3075,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:20:00,509.0,509.05,508.9,508.9,497,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:21:00,509.3,510.35,509.3,509.95,6205,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:22:00,509.9,513.2,509.9,512.45,53758,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:23:00,512.55,512.55,511.6,511.6,1248,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:24:00,511.6,511.6,510.2,510.45,9591,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:25:00,510.65,510.65,509.65,509.9,3641,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:26:00,509.65,509.65,508.15,508.9,1440,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:27:00,508.9,509.35,508.6,508.75,1093,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:28:00,508.4,509.15,508.2,509.15,980,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:29:00,509.15,509.15,508.3,508.3,640,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:30:00,508.05,508.4,507.05,507.5,5651,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:31:00,507.45,509.7,507.1,508.7,30972,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:32:00,508.95,509.4,508.45,508.75,4632,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:33:00,508.75,509.95,508.75,509.55,11031,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:34:00,509.6,509.7,509.35,509.45,1613,DHAN_HISTORY,2026-03-15 18:23:03
SONACOMS,2026-03-10 09:35:00,509.45,511.2,509.0,510.7,45371,DHAN_HISTORY,2026-03-15 18:23:03
