symbol,timestamp,open,high,low,close,volume,source,last_updated
SOUTHBANK,2025-10-08 09:15:00,31.39,31.39,31.18,31.21,257766,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:16:00,31.23,31.28,31.12,31.24,335834,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:17:00,31.23,31.34,31.18,31.32,218118,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:18:00,31.32,31.39,31.32,31.39,226480,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:19:00,31.39,31.4,31.32,31.34,148973,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:20:00,31.34,31.39,31.32,31.39,237887,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:21:00,31.36,31.38,31.31,31.34,54319,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:22:00,31.34,31.35,31.25,31.29,184859,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:23:00,31.29,31.29,31.2,31.2,111150,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:24:00,31.21,31.32,31.21,31.3,94544,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:25:00,31.29,31.29,31.2,31.21,65715,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:26:00,31.19,31.21,31.16,31.2,134243,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:27:00,31.2,31.22,31.16,31.21,71090,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:28:00,31.23,31.24,31.2,31.22,29131,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:29:00,31.22,31.29,31.21,31.29,28649,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:30:00,31.26,31.29,31.22,31.25,41218,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:31:00,31.27,31.29,31.22,31.29,45756,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:32:00,31.29,31.29,31.25,31.28,15355,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:33:00,31.27,31.33,31.27,31.3,89336,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:34:00,31.3,31.3,31.25,31.28,133819,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:35:00,31.26,31.29,31.25,31.26,25585,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:36:00,31.28,31.29,31.26,31.28,32667,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:37:00,31.3,31.3,31.28,31.29,9606,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:38:00,31.29,31.3,31.25,31.27,50379,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:39:00,31.27,31.28,31.23,31.26,29051,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:40:00,31.23,31.27,31.2,31.23,121652,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:41:00,31.23,31.23,31.17,31.2,20237,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:42:00,31.2,31.22,31.17,31.2,14630,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:43:00,31.19,31.23,31.17,31.22,154485,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:44:00,31.22,31.24,31.2,31.24,8982,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:45:00,31.2,31.24,31.2,31.2,31672,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:46:00,31.22,31.23,31.19,31.22,35081,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:47:00,31.19,31.23,31.18,31.18,20864,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:48:00,31.21,31.21,31.17,31.19,23178,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:49:00,31.19,31.21,31.15,31.2,76446,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:50:00,31.2,31.2,31.16,31.18,7223,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:51:00,31.18,31.2,31.15,31.16,46989,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:52:00,31.17,31.17,31.07,31.09,98650,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:53:00,31.09,31.1,31.06,31.1,17192,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:54:00,31.1,31.14,31.08,31.12,87651,DHAN_HISTORY,2026-03-15 17:18:08
SOUTHBANK,2025-10-08 09:55:00,31.12,31.15,31.1,31.15,43728,DHAN_HISTORY,2026-03-15 17:18:08
