symbol,timestamp,open,high,low,close,volume,source,last_updated
STLTECH,2025-12-29 09:15:00,103.21,103.44,102.69,103.04,23906,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:16:00,103.06,103.79,103.05,103.79,5600,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:17:00,103.65,103.86,103.41,103.53,2917,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:18:00,103.46,103.46,103.22,103.24,1614,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:19:00,103.32,103.32,103.12,103.24,3648,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:20:00,103.19,103.19,103.02,103.02,1132,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:21:00,103.1,103.35,103.02,103.28,3090,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:22:00,103.3,103.3,103.0,103.0,1897,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:23:00,103.0,103.19,102.91,103.08,4330,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:24:00,103.17,103.32,102.97,103.27,3430,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:25:00,103.27,103.53,103.27,103.42,4034,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:26:00,103.42,103.78,103.42,103.68,4634,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:27:00,103.61,103.68,103.43,103.43,4355,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:28:00,103.42,103.42,103.29,103.3,2218,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:29:00,103.34,103.37,103.3,103.32,983,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:30:00,103.4,103.5,103.29,103.46,20879,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:31:00,103.53,103.64,103.51,103.64,1258,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:32:00,103.6,103.96,103.6,103.87,1678,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:33:00,103.97,103.97,103.9,103.9,2160,DHAN_HISTORY,2026-03-15 17:20:18
STLTECH,2025-12-29 09:34:00,104.16,104.44,104.02,104.33,9498,DHAN_HISTORY,2026-03-15 17:20:18
