symbol,timestamp,open,high,low,close,volume,source,last_updated
SUZLON,2026-03-06 09:15:00,40.25,40.34,40.04,40.1,658755,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:16:00,40.09,40.15,39.96,40.15,735548,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:17:00,40.15,40.15,40.0,40.08,591750,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:18:00,40.03,40.25,39.97,40.19,751414,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:19:00,40.19,40.19,40.07,40.08,184152,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:20:00,40.08,40.2,40.08,40.17,331896,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:21:00,40.18,40.24,40.15,40.24,864695,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:22:00,40.22,40.29,40.21,40.29,1022672,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:23:00,40.29,40.35,40.28,40.3,337494,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:24:00,40.3,40.45,40.21,40.42,515387,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:25:00,40.41,40.56,40.41,40.54,517181,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:26:00,40.56,40.57,40.46,40.47,412720,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:27:00,40.49,40.55,40.46,40.55,580309,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:28:00,40.54,40.6,40.51,40.6,361930,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:29:00,40.6,40.6,40.53,40.55,247165,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:30:00,40.55,40.55,40.49,40.54,280179,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:31:00,40.54,40.55,40.51,40.54,175781,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:32:00,40.55,40.65,40.53,40.6,666429,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:33:00,40.6,40.65,40.59,40.65,250840,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:34:00,40.64,40.65,40.56,40.56,206406,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:35:00,40.56,40.6,40.54,40.56,393531,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:36:00,40.54,40.63,40.54,40.63,389678,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:37:00,40.65,40.85,40.63,40.83,658716,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:38:00,40.83,40.9,40.82,40.85,507857,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:39:00,40.84,40.87,40.76,40.83,495806,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:40:00,40.83,40.84,40.78,40.8,319348,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:41:00,40.79,40.83,40.78,40.83,340001,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:42:00,40.82,40.83,40.76,40.79,307202,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:43:00,40.8,40.81,40.75,40.79,190148,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:44:00,40.78,40.84,40.78,40.83,379815,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:45:00,40.83,40.84,40.8,40.83,130750,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:46:00,40.83,40.9,40.82,40.87,668084,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:47:00,40.87,40.95,40.86,40.95,290945,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:48:00,40.96,40.96,40.93,40.95,224847,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:49:00,40.95,40.95,40.84,40.88,267090,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:50:00,40.88,40.96,40.85,40.87,319744,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:51:00,40.88,40.9,40.84,40.9,199140,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:52:00,40.89,40.9,40.86,40.89,219041,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:53:00,40.89,40.93,40.81,40.84,448948,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:54:00,40.84,40.86,40.81,40.84,72346,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:55:00,40.86,40.86,40.73,40.73,257187,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:56:00,40.7,40.78,40.7,40.76,275879,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:57:00,40.78,40.78,40.75,40.78,110237,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:58:00,40.76,40.79,40.75,40.78,382016,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 09:59:00,40.79,40.85,40.78,40.85,192921,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 10:00:00,40.85,40.95,40.84,40.88,444871,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 10:01:00,40.85,40.89,40.81,40.82,266713,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 10:02:00,40.82,40.82,40.78,40.82,143289,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 10:03:00,40.82,40.86,40.82,40.85,168558,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 10:04:00,40.84,40.85,40.79,40.84,125559,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 10:05:00,40.84,40.85,40.81,40.83,101454,DHAN_HISTORY,2026-03-15 17:43:21
SUZLON,2026-03-06 10:06:00,40.84,40.89,40.83,40.89,143469,DHAN_HISTORY,2026-03-15 17:43:21
