symbol,timestamp,open,high,low,close,volume,source,last_updated
SWIGGY,2025-09-18 09:15:00,440.0,440.85,439.75,439.9,40195,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:16:00,439.85,439.85,439.15,439.15,27951,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:17:00,439.1,439.1,437.0,437.8,61976,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:18:00,438.0,438.3,437.5,437.8,23110,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:19:00,437.5,437.7,436.95,437.7,36200,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:20:00,437.7,437.7,436.5,436.7,42602,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:21:00,436.7,436.8,436.5,436.75,16980,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:22:00,436.75,436.85,436.25,436.85,26214,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:23:00,436.7,437.5,436.7,437.2,18506,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:24:00,437.2,437.6,436.95,437.2,25085,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:25:00,437.1,438.05,437.1,437.9,21547,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:26:00,437.8,437.95,437.7,437.85,4978,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:27:00,437.8,438.7,437.8,438.2,27823,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:28:00,438.25,438.9,438.15,438.55,25987,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:29:00,438.6,439.0,438.55,438.75,19099,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:30:00,438.75,439.5,438.7,439.5,29550,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:31:00,439.4,439.9,439.25,439.45,41672,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:32:00,439.45,439.6,439.1,439.3,31949,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:33:00,439.3,439.3,439.0,439.2,18435,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:34:00,439.3,440.6,439.1,440.2,63778,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:35:00,440.15,440.15,439.35,439.8,29434,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:36:00,439.75,439.8,439.35,439.6,7614,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:37:00,439.6,440.0,439.5,439.6,11657,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:38:00,439.65,440.0,439.5,439.5,11531,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:39:00,439.55,439.55,439.4,439.5,7329,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:40:00,439.5,439.65,439.15,439.65,17199,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:41:00,439.55,440.0,439.4,439.6,34710,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:42:00,439.45,440.0,439.45,439.65,14074,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:43:00,439.85,439.95,439.5,439.8,8559,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:44:00,439.65,439.9,439.2,439.5,6367,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:45:00,439.5,439.5,439.25,439.4,1935,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:46:00,439.4,439.55,439.4,439.5,11611,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:47:00,439.5,439.95,439.45,439.85,8031,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:48:00,439.85,440.0,439.65,439.8,37629,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:49:00,439.8,439.85,439.6,439.8,2775,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:50:00,439.8,440.5,439.75,440.5,14800,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:51:00,440.5,440.5,440.15,440.25,7992,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:52:00,440.2,440.2,439.95,439.95,10459,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:53:00,439.95,440.0,439.8,439.85,3087,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:54:00,439.85,439.85,439.6,439.7,6151,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:55:00,439.7,439.75,439.5,439.5,1917,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:56:00,439.55,439.55,439.4,439.4,3653,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:57:00,439.4,439.6,439.4,439.5,7318,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:58:00,439.6,439.6,439.5,439.5,955,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 09:59:00,439.5,439.75,439.4,439.4,14975,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:00:00,439.5,439.5,439.1,439.15,28962,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:01:00,439.0,439.0,438.5,438.8,5943,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:02:00,438.5,438.75,438.2,438.45,13905,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:03:00,438.45,438.8,438.45,438.6,4707,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:04:00,438.85,439.05,438.6,438.95,7560,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:05:00,438.95,439.1,438.95,439.1,2709,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:06:00,439.1,439.9,439.0,439.9,34817,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:07:00,439.9,440.0,439.75,439.9,6049,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:08:00,440.0,440.0,439.75,439.75,4120,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:09:00,439.85,439.85,439.55,439.6,1816,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:10:00,439.6,439.6,439.2,439.25,7346,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:11:00,439.45,439.45,438.65,438.65,9712,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:12:00,438.65,439.2,438.55,438.85,11896,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:13:00,439.0,439.0,438.8,438.8,744,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:14:00,438.8,438.85,438.8,438.8,1867,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:15:00,439.0,439.0,438.9,439.0,3980,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:16:00,439.0,439.2,438.95,439.15,1196,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:17:00,439.2,439.4,439.15,439.4,1215,DHAN_HISTORY,2026-03-15 17:43:25
SWIGGY,2025-09-18 10:18:00,439.4,439.45,439.3,439.4,1389,DHAN_HISTORY,2026-03-15 17:43:25
