symbol,timestamp,open,high,low,close,volume,source,last_updated
TEJASNET,2025-11-11 09:15:00,508.95,512.8,508.95,512.45,14736,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:16:00,512.0,512.4,509.95,510.45,6994,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:17:00,509.75,511.65,509.3,511.15,12720,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:18:00,510.75,512.0,510.5,510.9,5523,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:19:00,510.55,510.75,509.2,509.95,1446,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:20:00,509.4,510.0,509.0,509.45,5257,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:21:00,509.95,511.6,509.95,511.6,23860,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:22:00,510.75,511.1,509.8,510.4,2166,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:23:00,510.45,510.8,510.1,510.55,1591,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:24:00,510.2,510.95,510.1,510.55,1235,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:25:00,510.05,510.5,509.95,510.15,976,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:26:00,510.15,510.95,510.1,510.85,1610,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:27:00,510.55,510.6,510.0,510.6,1760,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:28:00,510.2,510.6,510.0,510.55,2425,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:29:00,510.75,510.75,510.3,510.55,838,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:30:00,510.55,510.55,509.05,509.05,8631,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:31:00,509.0,509.55,508.75,509.55,1614,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:32:00,509.1,509.55,508.8,508.8,1437,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:33:00,509.25,509.25,508.05,508.05,1859,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:34:00,508.45,508.5,508.05,508.45,865,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:35:00,508.45,508.45,507.3,507.75,3712,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:36:00,507.75,507.75,507.45,507.45,796,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:37:00,507.45,507.75,507.2,507.65,1038,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:38:00,507.65,507.75,507.25,507.7,358,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:39:00,507.2,507.65,506.55,506.8,5302,DHAN_HISTORY,2026-03-15 17:21:09
TEJASNET,2025-11-11 09:40:00,506.8,507.15,506.2,506.2,1223,DHAN_HISTORY,2026-03-15 17:21:09
