symbol,timestamp,open,high,low,close,volume,source,last_updated
UJJIVANSFB,2026-03-13 09:15:00,52.87,52.87,52.44,52.48,55797,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:16:00,52.48,52.53,52.23,52.26,68056,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:17:00,52.24,52.38,52.24,52.38,44232,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:18:00,52.38,52.61,52.38,52.51,64416,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:19:00,52.51,52.51,52.4,52.42,4887,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:20:00,52.45,52.45,52.33,52.37,52231,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:21:00,52.35,52.44,52.3,52.4,9539,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:22:00,52.4,52.4,52.27,52.32,36646,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:23:00,52.32,52.35,52.25,52.31,80657,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:24:00,52.32,52.44,52.3,52.42,32473,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:25:00,52.38,52.5,52.32,52.45,32663,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:26:00,52.46,52.78,52.46,52.75,56321,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:27:00,52.7,52.73,52.66,52.69,25803,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:28:00,52.66,52.72,52.62,52.66,23332,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:29:00,52.72,52.72,52.58,52.6,40926,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:30:00,52.57,52.69,52.55,52.64,33492,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:31:00,52.6,52.79,52.6,52.78,22602,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:32:00,52.73,52.79,52.68,52.73,16075,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:33:00,52.7,52.79,52.69,52.79,14423,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:34:00,52.79,52.79,52.65,52.7,42881,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:35:00,52.71,52.75,52.66,52.73,8061,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:36:00,52.68,52.69,52.62,52.62,8779,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:37:00,52.64,52.65,52.53,52.54,26851,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:38:00,52.54,52.67,52.51,52.64,53908,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:39:00,52.63,52.64,52.56,52.56,3677,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:40:00,52.57,52.62,52.57,52.58,3262,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:41:00,52.57,52.61,52.56,52.56,2554,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:42:00,52.56,52.66,52.51,52.66,69787,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:43:00,52.66,52.75,52.61,52.68,76160,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:44:00,52.64,52.72,52.61,52.68,10512,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:45:00,52.68,52.7,52.63,52.67,6803,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:46:00,52.62,52.67,52.59,52.62,19377,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:47:00,52.58,52.63,52.57,52.6,16890,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:48:00,52.6,52.65,52.6,52.62,1636,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:49:00,52.61,52.65,52.57,52.57,16561,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:50:00,52.54,52.58,52.52,52.52,1674,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:51:00,52.52,52.64,52.52,52.62,67943,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:52:00,52.59,52.59,52.52,52.54,4177,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:53:00,52.54,52.55,52.5,52.5,51938,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:54:00,52.5,52.54,52.3,52.3,76101,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:55:00,52.24,52.24,52.03,52.07,97311,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:56:00,52.05,52.12,52.05,52.06,50002,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:57:00,52.06,52.13,52.06,52.1,14524,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:58:00,52.1,52.1,52.05,52.05,54361,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 09:59:00,52.03,52.05,51.8,51.8,232413,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 10:00:00,51.8,51.83,51.65,51.74,125108,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 10:01:00,51.75,51.83,51.75,51.76,31776,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 10:02:00,51.78,51.82,51.73,51.78,44847,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 10:03:00,51.78,51.8,51.75,51.75,12685,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 10:04:00,51.74,51.8,51.73,51.79,17119,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 10:05:00,51.77,51.8,51.72,51.76,27527,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 10:06:00,51.73,51.76,51.65,51.66,29670,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 10:07:00,51.65,51.76,51.65,51.76,21785,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 10:08:00,51.75,51.8,51.73,51.75,4510,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 10:09:00,51.75,51.8,51.75,51.75,3686,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 10:10:00,51.75,51.8,51.75,51.75,5237,DHAN_HISTORY,2026-03-15 17:21:55
UJJIVANSFB,2026-03-13 10:11:00,51.79,51.81,51.7,51.7,87940,DHAN_HISTORY,2026-03-15 17:21:55
