symbol,timestamp,open,high,low,close,volume,source,last_updated
VEDL,2026-02-06 09:15:00,643.0,651.4,640.25,649.55,518422,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:16:00,649.25,651.95,649.25,650.3,210662,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:17:00,650.55,653.0,649.85,653.0,151655,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:18:00,653.0,654.7,653.0,654.6,166781,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:19:00,654.35,655.0,652.25,652.9,169844,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:20:00,652.7,654.85,652.7,654.0,129615,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:21:00,653.9,657.0,653.75,656.25,273107,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:22:00,656.4,656.4,655.4,655.6,104776,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:23:00,655.6,655.75,654.05,654.25,70984,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:24:00,653.85,654.7,653.5,654.7,73737,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:25:00,654.6,655.45,653.55,654.05,69233,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:26:00,654.5,654.95,653.4,653.55,40127,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:27:00,653.45,654.7,653.45,654.5,68735,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:28:00,654.3,654.8,653.95,654.1,52196,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:29:00,654.05,654.7,653.1,653.1,33604,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:30:00,653.2,655.95,652.8,655.35,98680,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:31:00,655.8,655.8,654.7,655.15,77504,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:32:00,655.15,655.75,654.85,655.75,37510,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:33:00,655.75,656.15,654.85,654.85,114365,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:34:00,655.05,655.5,654.5,654.5,41123,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:35:00,654.6,654.6,653.9,654.15,26947,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:36:00,654.15,654.45,653.65,653.7,47500,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:37:00,653.9,653.95,652.4,652.95,57948,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:38:00,653.2,653.65,652.45,653.45,74810,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:39:00,653.15,653.85,653.0,653.7,47718,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:40:00,653.7,654.9,653.7,654.9,56186,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:41:00,654.7,654.9,654.0,654.05,29193,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:42:00,654.05,654.15,653.65,653.65,30684,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:43:00,653.75,653.85,653.0,653.1,20650,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:44:00,653.0,653.95,653.0,653.8,37137,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:45:00,653.65,654.4,653.55,654.2,56929,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:46:00,654.3,654.8,653.9,654.25,28356,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:47:00,654.05,654.9,654.05,654.75,44294,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:48:00,654.8,655.9,654.6,655.75,46539,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:49:00,655.85,656.85,655.65,656.5,89498,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:50:00,656.4,656.85,655.0,655.2,84161,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:51:00,655.25,655.25,654.7,655.05,22258,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:52:00,655.05,655.05,654.6,654.8,29379,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:53:00,655.0,655.0,653.8,654.2,49640,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:54:00,654.1,654.55,654.0,654.1,17033,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:55:00,654.1,654.1,652.65,652.9,87628,DHAN_HISTORY,2026-03-15 17:46:20
VEDL,2026-02-06 09:56:00,652.95,653.4,652.9,653.0,46058,DHAN_HISTORY,2026-03-15 17:46:20
