symbol,timestamp,open,high,low,close,volume,source,last_updated
VMM,2025-10-27 09:15:00,148.0,148.4,147.88,148.11,36913,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:16:00,148.1,148.71,148.1,148.71,20897,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:17:00,148.71,148.76,148.5,148.53,43356,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:18:00,148.58,148.84,148.56,148.71,34138,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:19:00,148.75,149.0,148.63,148.98,45469,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:20:00,148.96,149.11,148.93,149.07,75049,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:21:00,149.09,149.18,148.91,148.99,47233,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:22:00,149.08,149.25,149.04,149.11,41357,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:23:00,149.11,149.2,149.09,149.19,36376,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:24:00,149.2,149.2,149.09,149.15,30968,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:25:00,149.16,149.39,149.16,149.35,73226,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:26:00,149.39,149.6,149.39,149.6,84481,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:27:00,149.6,149.82,149.51,149.66,46728,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:28:00,149.66,149.71,149.57,149.7,30594,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:29:00,149.7,149.78,149.63,149.72,36837,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:30:00,149.69,149.69,148.83,148.95,91553,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:31:00,148.91,149.24,148.91,149.1,20925,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:32:00,149.08,149.36,149.08,149.24,14913,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:33:00,149.09,149.17,148.98,148.99,18754,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:34:00,149.06,149.07,148.96,149.0,13849,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:35:00,149.07,149.1,148.92,149.01,10156,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:36:00,149.06,149.09,148.8,148.84,14020,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:37:00,148.84,148.98,148.67,148.8,20831,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:38:00,148.78,148.85,148.7,148.7,6890,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:39:00,148.76,148.8,148.65,148.8,11491,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:40:00,148.77,148.86,148.66,148.74,8975,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:41:00,148.71,148.82,148.71,148.81,6245,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:42:00,148.81,148.86,148.62,148.62,7099,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:43:00,148.68,148.78,148.62,148.78,6132,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:44:00,148.79,148.85,148.69,148.75,10868,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:45:00,148.81,148.84,148.6,148.65,7736,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:46:00,148.64,148.74,148.5,148.72,14032,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:47:00,148.72,148.75,148.63,148.63,9547,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:48:00,148.7,148.78,148.65,148.72,4095,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:49:00,148.69,148.94,148.65,148.89,10007,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:50:00,148.89,148.89,148.7,148.7,5302,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:51:00,148.71,148.73,148.61,148.64,5851,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:52:00,148.61,148.63,148.4,148.42,15153,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:53:00,148.42,148.54,148.42,148.53,9156,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:54:00,148.53,148.56,148.5,148.54,14982,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:55:00,148.56,148.6,148.55,148.6,4876,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:56:00,148.6,148.6,148.51,148.58,4565,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:57:00,148.51,148.6,148.4,148.49,6191,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:58:00,148.49,148.6,148.43,148.56,8968,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 09:59:00,148.65,148.65,148.47,148.6,4793,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:00:00,148.49,148.61,148.46,148.54,5503,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:01:00,148.54,148.69,148.42,148.56,21074,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:02:00,148.59,148.75,148.51,148.59,6696,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:03:00,148.51,148.66,148.49,148.49,8767,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:04:00,148.45,148.61,148.39,148.61,11121,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:05:00,148.61,148.61,148.32,148.48,13009,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:06:00,148.48,148.5,148.41,148.5,4157,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:07:00,148.49,148.7,148.43,148.7,23650,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:08:00,148.7,148.75,148.65,148.75,10305,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:09:00,148.75,148.95,148.75,148.95,7129,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:10:00,148.95,148.98,148.88,148.95,14107,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:11:00,148.94,148.94,148.89,148.91,8361,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:12:00,148.91,148.91,148.89,148.91,9218,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:13:00,148.91,148.97,148.9,148.97,5561,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:14:00,148.97,148.99,148.9,148.95,3968,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:15:00,148.96,148.99,148.79,148.79,5981,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:16:00,148.86,148.9,148.77,148.83,8756,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:17:00,148.79,148.84,148.75,148.81,4741,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:18:00,148.82,148.82,148.59,148.73,7101,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:19:00,148.63,148.8,148.61,148.8,5819,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:20:00,148.77,148.8,148.65,148.78,4877,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:21:00,148.75,148.81,148.58,148.68,6082,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:22:00,148.69,148.69,148.55,148.64,5078,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:23:00,148.64,148.64,148.55,148.64,4158,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:24:00,148.65,148.66,148.51,148.51,7144,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:25:00,148.56,148.56,148.38,148.54,31308,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:26:00,148.58,148.63,148.45,148.45,5443,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:27:00,148.48,148.54,148.48,148.5,3915,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:28:00,148.53,148.57,148.43,148.45,5251,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:29:00,148.5,148.51,148.42,148.51,8949,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:30:00,148.53,148.57,148.49,148.49,12267,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:31:00,148.47,148.49,148.41,148.45,2980,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:32:00,148.45,148.46,148.42,148.46,3237,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:33:00,148.46,148.5,148.41,148.49,8933,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:34:00,148.49,148.5,148.41,148.44,3447,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:35:00,148.44,148.45,148.35,148.4,11469,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:36:00,148.4,148.42,148.25,148.25,8664,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:37:00,148.32,148.42,148.25,148.38,6903,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:38:00,148.4,148.42,148.34,148.42,8829,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:39:00,148.42,148.42,148.37,148.38,3638,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:40:00,148.38,148.48,148.34,148.48,6533,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:41:00,148.48,148.5,148.4,148.44,2755,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:42:00,148.47,148.47,148.35,148.43,3861,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:43:00,148.43,148.47,148.4,148.41,2990,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:44:00,148.4,148.48,148.36,148.44,5099,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:45:00,148.45,148.49,148.4,148.4,5027,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:46:00,148.44,148.5,148.4,148.4,9225,DHAN_HISTORY,2026-03-15 17:22:02
VMM,2025-10-27 10:47:00,148.45,148.5,148.44,148.49,4670,DHAN_HISTORY,2026-03-15 17:22:02
