symbol,timestamp,open,high,low,close,volume,source,last_updated
ZEEL,2025-12-29 09:15:00,91.5,91.88,91.34,91.5,121564,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:16:00,91.43,91.65,91.32,91.52,40914,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:17:00,91.5,91.5,91.3,91.32,41642,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:18:00,91.25,91.57,91.24,91.4,43058,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:19:00,91.4,91.4,91.3,91.32,10424,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:20:00,91.37,91.5,91.28,91.36,31572,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:21:00,91.36,91.43,91.27,91.27,26271,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:22:00,91.32,91.4,91.12,91.23,52346,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:23:00,91.17,91.3,91.13,91.24,41616,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:24:00,91.24,91.29,91.15,91.16,21330,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:25:00,91.16,91.25,91.1,91.2,28950,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:26:00,91.17,91.3,91.15,91.25,13856,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:27:00,91.23,91.33,91.18,91.3,32736,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:28:00,91.25,91.34,91.24,91.24,16178,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:29:00,91.24,91.28,91.15,91.22,5267,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:30:00,91.26,91.3,91.17,91.23,13993,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:31:00,91.29,91.34,91.26,91.29,10189,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:32:00,91.29,91.33,91.22,91.3,17195,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:33:00,91.32,91.34,91.28,91.33,3133,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:34:00,91.3,91.39,91.3,91.39,13588,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:35:00,91.39,91.67,91.39,91.57,45171,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:36:00,91.59,91.69,91.57,91.68,7935,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:37:00,91.67,91.67,91.57,91.6,15501,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:38:00,91.52,91.52,91.4,91.48,22294,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:39:00,91.48,91.53,91.41,91.5,7282,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:40:00,91.48,91.56,91.43,91.51,7001,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:41:00,91.53,91.53,91.47,91.47,3902,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:42:00,91.5,91.51,91.44,91.44,7097,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:43:00,91.51,91.51,91.36,91.36,45996,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:44:00,91.4,91.4,91.28,91.28,14946,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:45:00,91.32,91.32,91.19,91.26,27056,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:46:00,91.2,91.25,91.19,91.25,14438,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:47:00,91.25,91.6,91.25,91.52,41495,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:48:00,91.59,91.59,91.2,91.25,79446,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:49:00,91.26,91.4,91.25,91.4,2048,DHAN_HISTORY,2026-03-15 17:23:04
ZEEL,2025-12-29 09:50:00,91.4,91.43,91.38,91.39,1656,DHAN_HISTORY,2026-03-15 17:23:04
