symbol,timestamp,open,high,low,close,volume,source,last_updated
ZYDUSLIFE,2025-12-12 09:15:00,925.0,927.2,924.95,926.95,3457,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:16:00,926.65,926.95,925.2,926.75,1342,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:17:00,926.1,926.1,925.25,925.55,718,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:18:00,925.5,925.7,924.2,924.2,1556,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:19:00,924.95,925.6,924.4,924.95,867,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:20:00,924.95,925.0,924.0,924.5,1776,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:21:00,924.5,924.5,923.15,923.95,769,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:22:00,924.0,925.2,923.95,924.65,11475,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:23:00,924.25,924.75,924.1,924.1,913,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:24:00,924.5,924.5,924.0,924.25,720,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:25:00,924.0,924.25,923.05,923.65,838,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:26:00,923.65,924.7,923.35,924.4,1151,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:27:00,924.55,925.0,924.05,924.9,94,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:28:00,925.0,925.65,925.0,925.35,1203,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:29:00,925.35,925.5,925.0,925.15,300,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:30:00,925.3,927.0,924.5,926.75,2175,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:31:00,926.8,926.8,926.1,926.75,1404,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:32:00,926.75,926.75,926.15,926.5,401,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:33:00,926.35,926.95,926.1,926.5,1021,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:34:00,926.5,926.7,926.4,926.6,320,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:35:00,926.45,926.6,926.2,926.2,44,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:36:00,926.25,927.75,926.25,927.25,1283,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:37:00,927.7,927.8,927.0,927.2,1657,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:38:00,927.7,927.7,927.2,927.7,286,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:39:00,927.25,927.6,925.2,926.05,3707,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:40:00,925.75,926.05,925.25,925.75,1563,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:41:00,925.75,926.45,925.65,925.75,563,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:42:00,925.6,925.6,925.0,925.2,548,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:43:00,925.5,925.5,925.0,925.4,538,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:44:00,925.4,925.9,925.15,925.9,1102,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:45:00,925.9,926.1,925.55,925.6,2755,DHAN_HISTORY,2026-03-15 18:28:29
ZYDUSLIFE,2025-12-12 09:46:00,925.45,925.45,925.1,925.2,122,DHAN_HISTORY,2026-03-15 18:28:29
