Symbol,Series,Security Name,Band,Remarks
LIQUIDCASE,EQ,ZERODHA FUND HOUSE - ZERODHA NIFTY 1D RATE LIQUID ETF,5,-
MEESHO,EQ,MEESHO LIMITED,5,-
TECHLABS,SM,TRIDENT TECHLABS LIMITED,5,-
COOLCAPS,SM,COOL CAPS INDUSTRIES LIMITED,10,-
OLAELEC,EQ,OLA ELECTRIC MOBILITY LIMITED,10,-
ADANIPOWER,EQ,ADANI POWER LIMITED,20,-
ALPEXSOLAR,SM,ALPEX SOLAR LIMITED,20,-
ANNAPURNA,SM,ANNAPURNA SWADISHT LIMITED,20,-
APEX,EQ,APEX FROZEN FOODS LIMITED,20,-
AVANTIFEED,EQ,AVANTI FEEDS LIMITED,20,-
AWFIS,EQ,AWFIS SPACE SOLUTIONS LIMITED,20,-
BELRISE,EQ,BELRISE INDUSTRIES LIMITED,20,-
BHARATCOAL,EQ,BHARAT COKING COAL LIMITED,20,-
BIRET,RR,BROOKFIELD INDIA REAL ESTATE TRUST,20,-
BLISSGVS,EQ,BLISS GVS PHARMA LIMITED,20,-
BLS,EQ,BLS INTERNATIONAL SERVICES LIMITED,20,-
CASTROLIND,EQ,CASTROL INDIA LIMITED,20,-
CUB,EQ,CITY UNION BANK LIMITED,20,-
CUPID,EQ,CUPID LIMITED,20,-
DBREALTY,EQ,VALOR ESTATE LIMITED,20,-
DEVYANI,EQ,DEVYANI INTERNATIONAL LIMITED,20,-
EMBASSY,RR,EMBASSY OFFICE PARKS REIT,20,-
GMDCLTD,EQ,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED,20,-
GOLD1,EQ,KOTAK MUTUAL FUND - GOLD EXCHANGE TRADED FUND,20,-
GOLDADD,EQ,DSP MUTUAL FUND - DSP GOLD ETF,20,-
GOLDBEES,EQ,NIPPON INDIA ETF GOLD BEES,20,-
GOLDCASE,EQ,ZERODHA FUND HOUSE - ZERODHA GOLD ETF,20,-
GOLDIETF,EQ,ICICI PRUDENTIAL GOLD ETF,20,-
GROWW,EQ,BILLIONBRAINS GARAGE VENTURES LIMITED,20,-
HDFCGOLD,EQ,HDFC MUTUAL FUND-HDFC GOLD EXCHANGE TRADED FUND,20,-
HDFCSILVER,EQ,HDFC MUTUAL FUND - HDFC SILVER ETF,20,-
HEXT,EQ,HEXAWARE TECHNOLOGIES LIMITED,20,-
HFCL,EQ,HFCL LIMITED,20,-
HINDCOPPER,EQ,HINDUSTAN COPPER LIMITED,20,-
ICIL,EQ,INDO COUNT INDUSTRIES LIMITED,20,-
IDBI,EQ,IDBI BANK LIMITED,20,-
IFCI,EQ,IFCI LIMITED,20,-
INDIGRID,IV,INDIGRID INFRASTRUCTURE TRUST,20,-
IRBINVIT,IV,IRB INVIT FUND,20,-
ITBEES,EQ,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,20,-
KARURVYSYA,EQ,KARUR VYSYA BANK LIMITED,20,-
KCK,SM,KCK INDUSTRIES LIMITED,20,-
KITEX,EQ,KITEX GARMENTS LIMITED,20,-
LEMONTREE,EQ,LEMON TREE HOTELS LIMITED,20,-
LLOYDSENGG,EQ,LLOYDS ENGINEERING WORKS LIMITED,20,-
MAHABANK,EQ,BANK OF MAHARASHTRA,20,-
MID150BEES,EQ,NIPPON INDIA ETF NIFTY MIDCAP 150,20,-
MOBIKWIK,EQ,ONE MOBIKWIK SYSTEMS LIMITED,20,-
MRPL,EQ,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,20,-
NIFTYBEES,EQ,NIPPON INDIA ETF NIFTY 50 BEES,20,-
NLCINDIA,EQ,NLC INDIA LIMITED,20,-
NXST,RR,NEXUS SELECT TRUST,20,-
ORIANA,SM,ORIANA POWER LIMITED,20,-
PARADEEP,EQ,PARADEEP PHOSPHATES LIMITED,20,-
PCBL,EQ,PCBL CHEMICAL LIMITED,20,-
PFOCUS,EQ,PRIME FOCUS LIMITED,20,-
PGINVIT,IV,POWERGRID INFRASTRUCTURE INVESTMENT TRUST,20,-
RAIN,EQ,RAIN INDUSTRIES LIMITED,20,-
RICOAUTO,EQ,RICO AUTO INDUSTRIES LIMITED,20,-
RNBDENIMS,EQ,R&B DENIMS LIMITED,20,-
RPOWER,EQ,RELIANCE POWER LIMITED,20,-
RUBICON,EQ,RUBICON RESEARCH LIMITED,20,-
SAAKSHI,SM,SAAKSHI MEDTECH AND PANELS LIMITED,20,-
SAGILITY,EQ,SAGILITY LIMITED,20,-
