Symbol,Series,Security Name,Band,Remarks
LIQUIDCASE,EQ,ZERODHA FUND HOUSE - ZERODHA NIFTY 1D RATE LIQUID ETF,5,-
MEESHO,EQ,MEESHO LIMITED,5,-
TECHLABS,SM,TRIDENT TECHLABS LIMITED,5,-
COOLCAPS,SM,COOL CAPS INDUSTRIES LIMITED,10,-
OLAELEC,EQ,OLA ELECTRIC MOBILITY LIMITED,10,-
ADANIPOWER,EQ,ADANI POWER LIMITED,20,-
ALPEXSOLAR,SM,ALPEX SOLAR LIMITED,20,-
ANNAPURNA,SM,ANNAPURNA SWADISHT LIMITED,20,-
APEX,EQ,APEX FROZEN FOODS LIMITED,20,-
AVANTIFEED,EQ,AVANTI FEEDS LIMITED,20,-
AWFIS,EQ,AWFIS SPACE SOLUTIONS LIMITED,20,-
BELRISE,EQ,BELRISE INDUSTRIES LIMITED,20,-
BHARATCOAL,EQ,BHARAT COKING COAL LIMITED,20,-
BIRET,RR,BROOKFIELD INDIA REAL ESTATE TRUST,20,-
BLISSGVS,EQ,BLISS GVS PHARMA LIMITED,20,-
BLS,EQ,BLS INTERNATIONAL SERVICES LIMITED,20,-
CASTROLIND,EQ,CASTROL INDIA LIMITED,20,-
CUB,EQ,CITY UNION BANK LIMITED,20,-
CUPID,EQ,CUPID LIMITED,20,-
DBREALTY,EQ,VALOR ESTATE LIMITED,20,-
